customer_id,gender,age,region,postal_code,plan,monthly_fee,data_usage_gb,join_date,tenure_months,churn
C0001,M,37.0,부산,56377,5G,89000.0,5.5,2019-03-16,70,No
C0002,F,61.0,서울,31082,5G,65000.0,58.2,2023-03-01,22,No
C0003,F,19.0,경기,63039,5G,35000.0,9.5,2024-04-05,9,No
C0004,M,64.0,경기,48969,5G,29000.0,4.6,2021-08-03,41,No
C0005,M,46.0,대구,42005,LTE,89000.0,12.2,2021-12-17,37,No
C0006,F,26.0,경기,57908,5G,35000.0,12.5,2021-09-25,39,No
C0007,M,34.0,경기,33449,5G,79000.0,,2019-06-15,67,No
C0008,F,47.0,경기,46403,3G,29000.0,17.5,2022-05-24,31,No
C0009,M,,서울,18937,5G,35000.0,3.8,2022-12-13,24,No
C0010,M,24.0,서울,61681,5G,35000.0,6.7,2024-01-30,11,Yes
C0011,F,52.0,경기,40271,LTE,35000.0,13.2,2024-02-03,11,No
C0012,F,53.0,경기,50265,5G,65000.0,10.3,2021-09-10,40,No
C0013,F,25.0,서울,30026,5G,89000.0,20.7,2024-04-01,9,No
C0014,F,33.0,경기,55607,5G,89000.0,36.2,2021-11-23,37,No
C0015,F,31.0,경기,05673,3G,79000.0,10.9,2022-07-08,30,No
C0016,F,52.0,서울,08188,5G,35000.0,44.9,2022-04-18,32,No
C0017,F,56.0,경기,32947,5G,89000.0,4.2,2024-06-20,6,No
C0018,M,56.0,부산,47141,5G,55000.0,35.3,2023-01-15,23,No
C0019,F,66.0,서울,51979,5G,55000.0,3.8,2019-08-29,65,No
C0020,M,58.0,기타,28725,LTE,65000.0,18.2,2019-05-24,68,No
C0021,F,35.0,기타,41928,5G,79000.0,7.7,2021-03-30,45,No
C0022,M,24.0,경기,35844,LTE,89000.0,7.2,2021-10-28,38,No
C0023,M,50.0,서울,61574,LTE,65000.0,53.5,2022-08-30,28,No
C0024,F,,경기,42207,LTE,65000.0,24.7,2021-08-21,40,No
C0025,F,68.0,대구,27260,5G,79000.0,11.5,2021-10-26,38,Yes
C0026,F,30.0,부산,62097,LTE,35000.0,0.4,2024-01-18,11,No
C0027,M,31.0,대구,07756,LTE,45000.0,2.0,2020-10-31,50,No
C0028,F,20.0,경기,63027,5G,65000.0,4.4,2021-09-14,40,Yes
C0029,F,26.0,경기,10702,LTE,29000.0,12.9,2022-01-19,35,No
C0030,M,47.0,서울,19158,LTE,45000.0,18.0,2021-07-25,41,No
C0031,M,46.0,부산,52751,5G,79000.0,6.0,2024-04-20,8,Yes
C0032,M,37.0,서울,47225,3G,89000.0,22.4,2024-04-08,8,Yes
C0033,M,34.0,부산,62131,5G,55000.0,20.0,2021-10-23,38,No
C0034,F,61.0,대구,48248,LTE,45000.0,8.4,2021-06-20,43,No
C0035,F,42.0,서울,41130,3G,55000.0,4.5,2022-03-23,33,No
C0036,M,60.0,경기,22828,5G,65000.0,0.9,2019-12-28,61,No
C0037,F,68.0,서울,01296,LTE,55000.0,17.0,2021-05-01,44,No
C0038,F,35.0,부산,08803,5G,29000.0,13.6,2020-03-09,58,No
C0039,M,29.0,서울,19759,LTE,55000.0,20.8,2019-10-16,63,Yes
C0040,F,67.0,기타,03579,LTE,45000.0,31.3,2019-07-10,66,No
C0041,M,51.0,서울,33014,5G,65000.0,39.4,2022-03-20,33,No
C0042,F,33.0,기타,49971,5G,89000.0,27.3,2019-01-02,73,Yes
C0043,F,50.0,대구,61684,5G,89000.0,9.5,2022-07-16,29,No
C0044,M,45.0,경기,31850,5G,65000.0,11.6,2021-05-13,44,No
C0045,M,65.0,부산,56124,5G,45000.0,26.0,2021-01-02,48,Yes
C0046,F,32.0,부산,63088,5G,55000.0,,2023-03-19,21,No
C0047,M,69.0,기타,55168,5G,35000.0,7.2,2021-12-13,37,Yes
C0048,F,66.0,서울,30292,5G,89000.0,23.0,2023-01-06,24,No
C0049,F,28.0,경기,21491,LTE,79000.0,40.6,2022-11-19,25,No
C0050,F,27.0,서울,62607,LTE,79000.0,26.5,2019-03-06,70,No
C0051,F,46.0,경기,16240,LTE,45000.0,23.4,2020-03-06,58,No
C0052,M,21.0,서울,26928,5G,45000.0,12.8,2022-02-13,35,Yes
C0053,M,34.0,경기,05663,LTE,79000.0,6.4,2024-05-05,8,No
C0054,M,41.0,경기,51001,LTE,55000.0,21.2,2019-11-05,62,No
C0055,M,68.0,경기,41939,5G,65000.0,36.3,2019-07-31,66,No
C0056,M,69.0,경기,06343,5G,55000.0,9.8,2024-02-26,10,Yes
C0057,F,26.0,부산,14981,LTE,55000.0,7.9,2024-04-17,8,Yes
C0058,M,64.0,부산,35993,5G,65000.0,8.0,2019-12-01,61,No
C0059,F,23.0,경기,35045,LTE,79000.0,17.5,2021-03-14,46,No
C0060,F,57.0,경기,51528,3G,45000.0,29.9,2022-06-07,31,No
C0061,F,62.0,기타,17763,5G,79000.0,1.5,2020-01-26,60,No
C0062,F,64.0,서울,59255,5G,35000.0,14.0,2020-10-14,51,No
C0063,M,30.0,서울,29001,3G,45000.0,3.8,2021-03-01,46,No
C0064,F,64.0,서울,52821,LTE,89000.0,,2022-07-07,30,No
C0065,M,24.0,부산,16017,5G,89000.0,15.2,2020-09-08,52,Yes
C0066,M,45.0,경기,03329,LTE,89000.0,9.7,2021-04-04,45,No
C0067,F,42.0,부산,04468,LTE,45000.0,16.2,2020-08-02,53,No
C0068,M,35.0,부산,24479,LTE,79000.0,2.8,2023-02-28,22,No
C0069,M,20.0,서울,61047,LTE,89000.0,4.6,2019-11-03,62,Yes
C0070,M,58.0,대구,04067,5G,89000.0,13.9,2020-04-06,57,No
C0071,F,36.0,부산,24245,5G,29000.0,22.7,2020-05-14,56,No
C0072,M,52.0,서울,07884,LTE,79000.0,0.6,2023-12-17,12,Yes
C0073,M,39.0,경기,59687,5G,89000.0,30.6,2024-03-03,10,No
C0074,M,38.0,서울,43543,LTE,79000.0,10.1,2021-09-27,39,No
C0075,F,64.0,서울,49048,LTE,35000.0,23.5,2019-11-09,62,No
C0076,M,23.0,서울,45934,5G,79000.0,18.0,2023-02-21,22,No
C0077,M,56.0,기타,42392,LTE,29000.0,42.7,2021-09-11,40,No
C0078,M,57.0,경기,49743,5G,55000.0,17.6,2023-08-27,16,No
C0079,F,38.0,경기,01511,LTE,65000.0,29.8,2020-12-20,49,No
C0080,F,32.0,부산,55522,5G,55000.0,8.3,2024-06-20,6,Yes
C0081,F,19.0,경기,47610,LTE,65000.0,2.8,2023-06-03,19,No
C0082,M,66.0,기타,47583,LTE,35000.0,26.0,2020-03-23,58,No
C0083,M,67.0,부산,25786,5G,65000.0,2.7,2022-12-22,24,Yes
C0084,F,31.0,경기,51454,LTE,65000.0,22.6,2020-07-27,53,No
C0085,F,20.0,경기,25054,LTE,65000.0,5.0,2020-11-30,49,No
C0086,F,25.0,기타,04084,LTE,45000.0,16.3,2020-05-15,56,Yes
C0087,M,22.0,부산,58191,LTE,45000.0,43.2,2022-09-26,27,No
C0088,M,61.0,기타,15775,3G,35000.0,21.3,2020-06-09,55,No
C0089,F,64.0,서울,07419,5G,55000.0,11.2,2022-07-01,30,No
C0090,F,26.0,대구,40178,LTE,65000.0,18.3,2022-03-10,34,No
C0091,M,57.0,경기,15719,5G,45000.0,8.6,2023-02-10,23,No
C0092,F,28.0,서울,55061,LTE,45000.0,54.2,2024-06-10,6,No
C0093,F,37.0,경기,28955,LTE,45000.0,7.1,2019-01-18,72,Yes
C0094,M,49.0,부산,01283,5G,35000.0,12.2,2024-06-03,7,Yes
C0095,F,55.0,서울,60957,5G,65000.0,20.0,2019-08-07,65,No
