고객ID,성별,나이,지역,우편번호,요금제,월요금,데이터사용량,가입일,가입개월수,이탈여부
C0001,M,46.0,경기,38671,5G,29000.0,17.0,2021-11-19,37,No
C0002,M,54.0,부산,47947,5G,65000.0,11.0,2019-11-22,62,No
C0003,M,58.0,대구,23029,LTE,89000.0,13.5,2019-08-12,65,No
C0004,F,67.0,경기,09262,LTE,65000.0,2.4,2021-11-04,38,No
C0005,M,48.0,경기,25370,5G,55000.0,,2023-07-09,18,Yes
C0006,F,50.0,서울,13510,3G,45000.0,10.8,2021-12-02,37,No
C0007,F,57.0,경기,24557,LTE,65000.0,7.7,2023-04-13,20,Yes
C0008,F,32.0,서울,40489,LTE,65000.0,14.9,2019-12-22,61,No
C0009,M,,경기,08143,5G,55000.0,20.0,2021-06-17,43,No
C0010,F,50.0,부산,48077,5G,35000.0,7.3,2022-05-11,32,No
C0011,F,22.0,서울,15150,LTE,65000.0,8.7,2020-11-26,49,No
C0012,F,35.0,서울,57364,5G,79000.0,12.9,2019-01-29,72,No
C0013,M,55.0,서울,47143,LTE,65000.0,18.4,2019-05-27,68,No
C0014,F,68.0,대구,18172,LTE,29000.0,7.1,2024-01-30,11,No
C0015,F,45.0,경기,36482,5G,65000.0,13.0,2022-04-25,32,No
C0016,M,39.0,서울,07975,LTE,79000.0,19.3,2020-06-13,55,No
C0017,M,41.0,대구,07283,3G,35000.0,5.4,2020-06-01,55,Yes
C0018,M,53.0,경기,61229,LTE,79000.0,57.4,2019-03-21,70,No
C0019,F,46.0,경기,51552,5G,55000.0,10.3,2024-03-04,10,Yes
C0020,M,20.0,기타,10728,LTE,55000.0,9.9,2019-08-05,65,No
C0021,M,46.0,서울,18809,LTE,79000.0,15.3,2023-02-27,22,No
C0022,F,39.0,서울,13452,LTE,55000.0,13.0,2020-04-25,57,No
C0023,M,54.0,경기,25894,LTE,55000.0,4.9,2020-11-02,50,No
C0024,M,63.0,서울,19353,LTE,45000.0,14.1,2020-07-01,54,No
C0025,F,68.0,부산,21667,5G,89000.0,9.7,2023-07-08,18,No
C0026,F,50.0,서울,34351,5G,89000.0,17.1,2019-03-07,70,No
C0027,F,37.0,서울,12910,5G,29000.0,9.5,2020-12-05,49,Yes
C0028,F,41.0,서울,56617,LTE,79000.0,51.3,2020-07-12,54,No
C0029,M,27.0,경기,46841,LTE,29000.0,14.2,2020-06-29,54,No
C0030,F,66.0,서울,48913,LTE,45000.0,15.1,2020-01-21,60,No
C0031,F,62.0,서울,11676,5G,89000.0,13.8,2023-12-30,12,No
C0032,M,62.0,대구,45613,LTE,35000.0,5.3,2021-01-27,47,No
C0033,M,35.0,서울,53682,3G,45000.0,14.2,2021-04-16,45,No
C0034,M,35.0,경기,12036,5G,35000.0,7.9,2021-02-09,47,No
C0035,M,,서울,48329,LTE,79000.0,12.9,2024-05-14,7,Yes
C0036,M,46.0,경기,23533,LTE,55000.0,6.3,2020-11-09,50,No
C0037,M,54.0,서울,50616,LTE,65000.0,13.8,2020-11-14,50,Yes
C0038,F,43.0,경기,31139,5G,89000.0,8.8,2020-10-17,51,No
C0039,M,41.0,서울,51538,LTE,55000.0,6.9,2020-10-15,51,Yes
C0040,F,51.0,대구,10287,3G,79000.0,14.9,2019-06-29,67,Yes
C0041,F,60.0,기타,25511,LTE,29000.0,13.0,2022-04-23,32,No
C0042,F,36.0,서울,18225,3G,35000.0,9.5,2019-02-20,71,No
C0043,F,60.0,서울,16646,3G,89000.0,17.8,2020-03-27,58,No
C0044,M,31.0,서울,20424,5G,89000.0,10.2,2020-02-09,59,No
C0045,F,39.0,경기,25092,LTE,65000.0,12.1,2020-08-05,53,No
C0046,M,65.0,서울,09018,5G,45000.0,13.1,2023-02-22,22,No
C0047,F,67.0,대구,45545,3G,35000.0,9.5,2022-04-13,33,No
C0048,M,66.0,부산,35664,5G,79000.0,13.9,2024-06-04,7,No
C0049,M,35.0,대구,53243,5G,79000.0,9.9,2020-12-03,49,No
C0050,F,62.0,경기,45416,LTE,35000.0,10.4,2024-02-01,11,No
C0051,M,66.0,기타,10389,5G,65000.0,17.5,2019-03-31,70,No
C0052,F,68.0,서울,05405,LTE,65000.0,36.9,2021-10-05,39,No
C0053,M,20.0,경기,27636,5G,55000.0,2.3,2023-05-17,19,Yes
C0054,M,56.0,서울,31310,3G,89000.0,18.4,2021-11-29,37,No
C0055,F,69.0,기타,16135,LTE,29000.0,22.2,2024-02-10,10,Yes
C0056,F,57.0,경기,50278,5G,35000.0,10.4,2020-09-21,52,No
C0057,M,30.0,대구,37639,LTE,29000.0,4.3,2019-03-08,70,No
C0058,M,57.0,서울,48122,5G,65000.0,10.8,2023-03-28,21,No
C0059,M,24.0,기타,07867,LTE,65000.0,10.9,2019-05-17,68,No
C0060,F,43.0,경기,52348,LTE,89000.0,11.2,2023-03-10,22,No
C0061,F,50.0,경기,13983,LTE,55000.0,7.5,2023-01-06,24,No
C0062,M,42.0,기타,29238,5G,35000.0,14.3,2023-08-16,16,Yes
C0063,M,54.0,경기,28679,5G,55000.0,14.1,2021-08-15,41,Yes
C0064,M,31.0,경기,52694,LTE,29000.0,6.0,2023-11-27,13,No
C0065,M,49.0,경기,18441,LTE,65000.0,14.8,2019-12-06,61,Yes
C0066,F,51.0,서울,16167,5G,65000.0,20.2,2021-05-18,44,No
C0067,F,51.0,서울,22396,5G,89000.0,12.7,2019-09-01,64,No
C0068,M,33.0,서울,23730,5G,45000.0,10.7,2023-03-14,21,No
C0069,F,34.0,서울,12446,LTE,45000.0,43.3,2022-11-29,25,No
C0070,M,32.0,대구,12110,5G,29000.0,14.5,2023-06-01,19,No
C0071,M,42.0,경기,15574,5G,45000.0,5.1,2023-03-09,22,No
C0072,M,48.0,경기,30451,3G,55000.0,12.7,2020-09-08,52,No
C0073,M,37.0,경기,22631,5G,79000.0,10.4,2019-05-17,68,No
C0074,M,,경기,25699,LTE,79000.0,19.4,2024-02-02,11,No
C0075,F,33.0,경기,46299,5G,29000.0,36.3,2021-09-12,40,Yes
C0076,F,30.0,기타,16178,LTE,35000.0,18.7,2019-07-08,66,No
C0077,M,52.0,기타,58322,LTE,55000.0,7.6,2024-01-29,11,No
C0078,F,60.0,경기,48361,LTE,45000.0,14.3,2024-06-11,6,No
C0079,F,33.0,서울,12005,5G,29000.0,13.3,2021-06-09,43,No
C0080,F,62.0,경기,20772,LTE,79000.0,8.5,2023-03-21,21,No
C0081,F,48.0,경기,12563,LTE,79000.0,12.7,2019-03-14,70,Yes
C0082,M,27.0,경기,18186,5G,55000.0,16.9,2019-07-06,66,No
C0083,F,37.0,부산,24025,5G,45000.0,10.7,2020-07-07,54,Yes
C0084,F,19.0,경기,09245,5G,79000.0,5.2,2022-08-05,29,No
C0085,F,20.0,서울,01909,3G,29000.0,45.1,2019-09-24,64,No
C0086,M,36.0,서울,28645,LTE,55000.0,69.5,2019-03-10,70,No
C0087,M,42.0,경기,45161,LTE,79000.0,10.6,2022-08-30,28,Yes
C0088,M,59.0,서울,20086,LTE,89000.0,11.7,2023-03-21,21,No
C0089,M,25.0,서울,55207,LTE,35000.0,5.2,2023-01-18,23,No
C0090,M,61.0,부산,24263,5G,65000.0,5.5,2023-05-18,19,Yes
C0091,M,30.0,경기,57749,5G,35000.0,13.9,2023-05-25,19,Yes
C0092,F,26.0,서울,15867,LTE,29000.0,9.9,2022-04-19,32,Yes
C0093,M,54.0,경기,34977,5G,45000.0,1.7,2021-11-04,38,No
C0094,F,58.0,부산,49078,LTE,89000.0,15.1,2023-09-10,15,No
C0095,M,49.0,서울,04719,LTE,65000.0,13.1,2020-11-27,49,No
C0096,F,24.0,대구,59589,5G,55000.0,9.1,2019-07-15,66,No
C0097,M,24.0,기타,23992,LTE,35000.0,6.7,2023-02-12,22,No
C0098,F,38.0,경기,32369,5G,29000.0,41.8,2020-07-05,54,No
C0099,M,41.0,부산,40591,3G,35000.0,13.4,2024-05-11,7,No
C0100,M,69.0,서울,41508,3G,35000.0,21.5,2021-04-08,45,No
C0101,M,33.0,기타,02491,3G,35000.0,13.7,2023-08-31,16,Yes
C0102,F,28.0,경기,55630,5G,65000.0,13.6,2019-03-26,70,No
C0103,M,67.0,기타,40286,5G,29000.0,11.3,2022-08-11,29,Yes
C0104,F,26.0,경기,63925,5G,29000.0,15.3,2021-06-15,43,No
C0105,F,20.0,서울,30704,5G,55000.0,14.5,2021-07-14,42,No
C0106,M,40.0,서울,39650,5G,45000.0,17.0,2020-06-14,55,No
C0107,M,39.0,부산,28786,5G,55000.0,9.9,2024-04-26,8,No
C0108,M,50.0,경기,57055,3G,29000.0,10.3,2021-02-24,46,No
C0109,M,63.0,서울,53439,5G,35000.0,34.3,2023-08-28,16,No
C0110,M,66.0,부산,58241,5G,55000.0,15.2,2021-04-30,44,No
C0111,M,33.0,대구,32769,LTE,65000.0,18.0,2019-04-07,69,No
C0112,F,69.0,경기,50860,LTE,45000.0,,2023-10-25,14,No
C0113,M,51.0,경기,23603,LTE,55000.0,10.3,2020-01-06,60,No
C0114,M,22.0,서울,30038,LTE,55000.0,13.3,2020-06-24,55,No
C0115,F,66.0,부산,48892,LTE,35000.0,11.0,2023-09-19,15,No
C0116,F,26.0,서울,06112,LTE,35000.0,15.8,2023-11-23,13,No
C0117,M,49.0,대구,45760,LTE,45000.0,3.0,2024-01-08,11,Yes
C0118,M,59.0,경기,01995,LTE,29000.0,8.7,2021-05-01,44,No
C0119,M,31.0,경기,37580,5G,65000.0,8.9,2023-02-22,22,No
C0120,F,32.0,서울,31063,5G,65000.0,2.7,2020-10-17,51,Yes
C0121,F,43.0,서울,30526,5G,45000.0,8.1,2023-01-20,23,No
C0122,M,64.0,부산,32141,5G,45000.0,8.3,2021-10-02,39,No
C0123,M,30.0,경기,31991,LTE,45000.0,30.2,2019-04-14,69,No
C0124,M,52.0,경기,26663,5G,65000.0,16.5,2021-04-15,45,No
C0125,F,42.0,기타,29434,5G,79000.0,54.2,2021-07-24,41,Yes
C0126,M,24.0,기타,36793,5G,29000.0,7.9,2020-05-29,55,Yes
C0127,M,55.0,대구,49097,LTE,45000.0,11.8,2021-01-18,48,No
C0128,M,61.0,서울,35785,5G,29000.0,16.2,2021-10-02,39,No
C0129,M,48.0,경기,41478,LTE,55000.0,8.1,2019-04-10,69,Yes
C0130,F,27.0,대구,53705,LTE,35000.0,8.4,2019-10-31,62,No
C0131,M,26.0,경기,63338,5G,45000.0,14.2,2023-03-14,21,Yes
C0132,M,40.0,서울,07845,LTE,55000.0,11.1,2020-12-04,49,No
C0133,F,44.0,대구,45913,5G,45000.0,14.6,2022-05-01,32,No
C0134,F,47.0,경기,15185,5G,45000.0,11.9,2022-02-05,35,No
