date,store,qty,amount
2024-01-01,강남점,24,360000
2024-01-01,홍대점,23,276000
2024-01-01,부산점,17,204000
2024-01-02,강남점,9,108000
2024-01-02,홍대점,24,432000
2024-01-02,부산점,20,360000
2024-01-03,강남점,18,216000
2024-01-03,홍대점,19,228000
2024-01-03,부산점,12,216000
2024-01-04,강남점,15,225000
2024-01-04,홍대점,17,204000
2024-01-04,부산점,24,360000
2024-01-05,강남점,28,336000
2024-01-05,홍대점,11,132000
2024-01-05,부산점,12,180000
2024-01-06,강남점,15,270000
2024-01-06,홍대점,20,360000
2024-01-06,부산점,18,216000
2024-01-07,강남점,14,210000
2024-01-07,홍대점,18,324000
2024-01-07,부산점,12,216000
2024-01-08,강남점,12,216000
2024-01-08,홍대점,17,204000
2024-01-08,부산점,25,300000
2024-01-09,강남점,25,300000
2024-01-09,홍대점,21,252000
2024-01-09,부산점,24,288000
2024-01-10,강남점,15,180000
2024-01-10,홍대점,10,150000
2024-01-10,부산점,26,390000
2024-01-11,강남점,22,330000
2024-01-11,홍대점,19,228000
2024-01-11,부산점,20,240000
2024-01-12,강남점,18,324000
2024-01-12,홍대점,16,240000
2024-01-12,부산점,21,252000
2024-01-13,강남점,16,288000
2024-01-13,홍대점,12,216000
2024-01-13,부산점,24,432000
2024-01-14,강남점,15,180000
2024-01-14,홍대점,21,315000
2024-01-14,부산점,24,432000
2024-01-15,강남점,16,288000
2024-01-15,홍대점,17,204000
2024-01-15,부산점,28,504000
2024-01-16,강남점,20,300000
2024-01-16,홍대점,13,195000
2024-01-16,부산점,20,300000
2024-01-17,강남점,28,504000
2024-01-17,홍대점,23,276000
2024-01-17,부산점,23,345000
2024-01-18,강남점,23,414000
2024-01-18,홍대점,17,255000
2024-01-18,부산점,31,372000
2024-01-19,강남점,22,264000
2024-01-19,홍대점,15,225000
2024-01-19,부산점,20,360000
2024-01-20,강남점,21,315000
2024-01-20,홍대점,19,342000
2024-01-20,부산점,21,315000
2024-01-21,강남점,23,345000
2024-01-21,홍대점,24,288000
2024-01-21,부산점,20,300000
2024-01-22,강남점,13,156000
2024-01-22,홍대점,20,360000
2024-01-22,부산점,22,264000
2024-01-23,강남점,21,378000
2024-01-23,홍대점,23,276000
2024-01-23,부산점,21,315000
2024-01-24,강남점,18,216000
2024-01-24,홍대점,20,240000
2024-01-24,부산점,10,180000
2024-01-25,강남점,15,180000
2024-01-25,홍대점,29,435000
2024-01-25,부산점,16,288000
2024-01-26,강남점,18,270000
2024-01-26,홍대점,18,216000
2024-01-26,부산점,24,360000
2024-01-27,강남점,19,285000
2024-01-27,홍대점,20,240000
2024-01-27,부산점,16,192000
2024-01-28,강남점,20,300000
2024-01-28,홍대점,25,375000
2024-01-28,부산점,29,348000
2024-01-29,강남점,22,330000
2024-01-29,홍대점,19,285000
2024-01-29,부산점,13,156000
2024-01-30,강남점,25,375000
2024-01-30,홍대점,16,288000
2024-01-30,부산점,16,240000
2024-01-31,강남점,21,315000
2024-01-31,홍대점,15,270000
2024-01-31,부산점,22,330000
2024-02-01,강남점,22,264000
2024-02-01,홍대점,21,315000
2024-02-01,부산점,18,270000
2024-02-02,강남점,20,300000
2024-02-02,홍대점,19,228000
2024-02-02,부산점,16,192000
2024-02-03,강남점,15,225000
2024-02-03,홍대점,17,306000
2024-02-03,부산점,20,360000
2024-02-04,강남점,30,540000
2024-02-04,홍대점,23,276000
2024-02-04,부산점,17,255000
2024-02-05,강남점,22,330000
2024-02-05,홍대점,20,300000
2024-02-05,부산점,19,285000
2024-02-06,강남점,13,195000
2024-02-06,홍대점,21,252000
2024-02-06,부산점,25,450000
2024-02-07,강남점,22,396000
2024-02-07,홍대점,26,312000
2024-02-07,부산점,28,420000
2024-02-08,강남점,25,375000
2024-02-08,홍대점,15,270000
2024-02-08,부산점,19,342000
2024-02-09,강남점,15,225000
2024-02-09,홍대점,19,342000
2024-02-09,부산점,27,486000
2024-02-10,강남점,14,252000
2024-02-10,홍대점,27,324000
2024-02-10,부산점,19,342000
2024-02-11,강남점,30,450000
2024-02-11,홍대점,22,264000
2024-02-11,부산점,24,432000
2024-02-12,강남점,14,252000
2024-02-12,홍대점,16,240000
2024-02-12,부산점,18,270000
2024-02-13,강남점,25,375000
2024-02-13,홍대점,24,288000
2024-02-13,부산점,20,360000
2024-02-14,강남점,31,372000
2024-02-14,홍대점,28,420000
2024-02-14,부산점,19,228000
2024-02-15,강남점,18,324000
2024-02-15,홍대점,16,288000
2024-02-15,부산점,20,300000
2024-02-16,강남점,22,330000
2024-02-16,홍대점,19,342000
2024-02-16,부산점,16,288000
2024-02-17,강남점,15,270000
2024-02-17,홍대점,24,288000
2024-02-17,부산점,26,390000
2024-02-18,강남점,26,468000
2024-02-18,홍대점,24,288000
2024-02-18,부산점,19,342000
2024-02-19,강남점,23,276000
2024-02-19,홍대점,28,504000
2024-02-19,부산점,21,315000
2024-02-20,강남점,16,288000
2024-02-20,홍대점,19,342000
2024-02-20,부산점,16,192000
2024-02-21,강남점,12,180000
2024-02-21,홍대점,19,342000
2024-02-21,부산점,19,228000
2024-02-22,강남점,20,360000
2024-02-22,홍대점,20,240000
2024-02-22,부산점,18,270000
2024-02-23,강남점,25,375000
2024-02-23,홍대점,21,378000
2024-02-23,부산점,23,414000
2024-02-24,강남점,22,330000
2024-02-24,홍대점,18,216000
2024-02-24,부산점,15,225000
2024-02-25,강남점,26,390000
2024-02-25,홍대점,20,360000
2024-02-25,부산점,20,360000
2024-02-26,강남점,16,240000
2024-02-26,홍대점,16,288000
2024-02-26,부산점,16,192000
2024-02-27,강남점,21,252000
2024-02-27,홍대점,24,288000
2024-02-27,부산점,19,342000
2024-02-28,강남점,23,276000
2024-02-28,홍대점,14,210000
2024-02-28,부산점,27,486000
2024-02-29,강남점,17,306000
2024-02-29,홍대점,18,324000
2024-02-29,부산점,19,228000
2024-03-01,강남점,20,300000
2024-03-01,홍대점,21,315000
2024-03-01,부산점,25,450000
2024-03-02,강남점,24,360000
2024-03-02,홍대점,24,360000
2024-03-02,부산점,15,180000
2024-03-03,강남점,23,276000
2024-03-03,홍대점,20,300000
2024-03-03,부산점,28,336000
2024-03-04,강남점,17,255000
2024-03-04,홍대점,29,522000
2024-03-04,부산점,22,330000
2024-03-05,강남점,18,270000
2024-03-05,홍대점,20,240000
2024-03-05,부산점,14,210000
2024-03-06,강남점,13,195000
2024-03-06,홍대점,18,216000
2024-03-06,부산점,23,276000
2024-03-07,강남점,20,360000
2024-03-07,홍대점,18,324000
2024-03-07,부산점,12,180000
2024-03-08,강남점,21,378000
2024-03-08,홍대점,18,216000
2024-03-08,부산점,20,240000
2024-03-09,강남점,21,378000
2024-03-09,홍대점,16,192000
2024-03-09,부산점,23,345000
2024-03-10,강남점,15,180000
2024-03-10,홍대점,26,312000
2024-03-10,부산점,9,135000
2024-03-11,강남점,21,315000
2024-03-11,홍대점,21,378000
2024-03-11,부산점,28,504000
2024-03-12,강남점,22,330000
2024-03-12,홍대점,23,345000
2024-03-12,부산점,16,192000
2024-03-13,강남점,23,276000
2024-03-13,홍대점,19,228000
2024-03-13,부산점,25,450000
2024-03-14,강남점,22,264000
2024-03-14,홍대점,17,255000
2024-03-14,부산점,19,342000
2024-03-15,강남점,16,288000
2024-03-15,홍대점,21,315000
2024-03-15,부산점,18,216000
2024-03-16,강남점,19,285000
2024-03-16,홍대점,17,255000
2024-03-16,부산점,29,348000
2024-03-17,강남점,19,342000
2024-03-17,홍대점,19,342000
2024-03-17,부산점,20,240000
2024-03-18,강남점,13,156000
2024-03-18,홍대점,14,168000
2024-03-18,부산점,19,342000
2024-03-19,강남점,16,192000
2024-03-19,홍대점,16,288000
2024-03-19,부산점,19,342000
2024-03-20,강남점,13,195000
2024-03-20,홍대점,18,270000
2024-03-20,부산점,16,288000
2024-03-21,강남점,29,522000
2024-03-21,홍대점,14,168000
2024-03-21,부산점,16,192000
2024-03-22,강남점,19,285000
2024-03-22,홍대점,28,336000
2024-03-22,부산점,21,252000
2024-03-23,강남점,14,252000
2024-03-23,홍대점,22,330000
2024-03-23,부산점,15,225000
2024-03-24,강남점,25,300000
2024-03-24,홍대점,22,264000
2024-03-24,부산점,21,252000
2024-03-25,강남점,21,315000
2024-03-25,홍대점,23,276000
2024-03-25,부산점,16,240000
2024-03-26,강남점,26,312000
2024-03-26,홍대점,20,300000
2024-03-26,부산점,12,180000
2024-03-27,강남점,16,192000
2024-03-27,홍대점,15,225000
2024-03-27,부산점,19,228000
2024-03-28,강남점,26,312000
2024-03-28,홍대점,24,432000
2024-03-28,부산점,27,486000
2024-03-29,강남점,18,270000
2024-03-29,홍대점,27,486000
2024-03-29,부산점,33,495000
2024-03-30,강남점,21,252000
2024-03-30,홍대점,21,378000
2024-03-30,부산점,17,255000
2024-03-31,강남점,15,225000
2024-03-31,홍대점,22,330000
2024-03-31,부산점,28,336000
2024-04-01,강남점,25,450000
2024-04-01,홍대점,23,345000
2024-04-01,부산점,26,390000
2024-04-02,강남점,17,204000
2024-04-02,홍대점,21,378000
2024-04-02,부산점,16,192000
2024-04-03,강남점,21,252000
2024-04-03,홍대점,21,378000
2024-04-03,부산점,25,300000
2024-04-04,강남점,21,315000
2024-04-04,홍대점,20,360000
2024-04-04,부산점,21,378000
2024-04-05,강남점,23,345000
2024-04-05,홍대점,24,432000
2024-04-05,부산점,13,234000
2024-04-06,강남점,23,414000
2024-04-06,홍대점,26,312000
2024-04-06,부산점,23,414000
2024-04-07,강남점,13,156000
2024-04-07,홍대점,16,288000
2024-04-07,부산점,23,276000
2024-04-08,강남점,21,252000
2024-04-08,홍대점,14,168000
2024-04-08,부산점,26,390000
2024-04-09,강남점,18,216000
2024-04-09,홍대점,11,132000
2024-04-09,부산점,23,345000
2024-04-10,강남점,22,396000
2024-04-10,홍대점,28,420000
2024-04-10,부산점,19,285000
2024-04-11,강남점,13,195000
2024-04-11,홍대점,24,360000
2024-04-11,부산점,20,300000
2024-04-12,강남점,15,225000
2024-04-12,홍대점,17,204000
2024-04-12,부산점,19,228000
2024-04-13,강남점,26,468000
2024-04-13,홍대점,19,285000
2024-04-13,부산점,15,180000
2024-04-14,강남점,19,228000
2024-04-14,홍대점,27,486000
2024-04-14,부산점,21,252000
2024-04-15,강남점,17,204000
2024-04-15,홍대점,14,252000
2024-04-15,부산점,24,360000
2024-04-16,강남점,17,255000
2024-04-16,홍대점,19,342000
2024-04-16,부산점,27,324000
2024-04-17,강남점,32,480000
2024-04-17,홍대점,10,180000
2024-04-17,부산점,18,270000
2024-04-18,강남점,24,288000
2024-04-18,홍대점,22,396000
2024-04-18,부산점,22,396000
2024-04-19,강남점,29,348000
2024-04-19,홍대점,16,192000
2024-04-19,부산점,22,396000
2024-04-20,강남점,22,264000
2024-04-20,홍대점,22,396000
2024-04-20,부산점,17,204000
2024-04-21,강남점,18,324000
2024-04-21,홍대점,19,342000
2024-04-21,부산점,15,225000
2024-04-22,강남점,14,168000
2024-04-22,홍대점,29,435000
2024-04-22,부산점,27,486000
2024-04-23,강남점,18,324000
2024-04-23,홍대점,22,264000
2024-04-23,부산점,15,225000
2024-04-24,강남점,21,378000
2024-04-24,홍대점,14,168000
2024-04-24,부산점,18,324000
2024-04-25,강남점,32,384000
2024-04-25,홍대점,23,414000
2024-04-25,부산점,23,276000
2024-04-26,강남점,15,180000
2024-04-26,홍대점,22,330000
2024-04-26,부산점,18,270000
2024-04-27,강남점,20,240000
2024-04-27,홍대점,16,240000
2024-04-27,부산점,15,180000
2024-04-28,강남점,26,468000
2024-04-28,홍대점,17,204000
2024-04-28,부산점,23,345000
2024-04-29,강남점,18,324000
2024-04-29,홍대점,13,156000
2024-04-29,부산점,28,336000
2024-04-30,강남점,19,342000
2024-04-30,홍대점,11,132000
2024-04-30,부산점,13,234000
2024-05-01,강남점,23,345000
2024-05-01,홍대점,21,378000
2024-05-01,부산점,23,276000
2024-05-02,강남점,18,216000
2024-05-02,홍대점,23,414000
2024-05-02,부산점,24,432000
2024-05-03,강남점,15,270000
2024-05-03,홍대점,20,240000
2024-05-03,부산점,13,195000
2024-05-04,강남점,13,195000
2024-05-04,홍대점,17,255000
2024-05-04,부산점,17,204000
2024-05-05,강남점,21,315000
2024-05-05,홍대점,21,315000
2024-05-05,부산점,20,240000
2024-05-06,강남점,24,360000
2024-05-06,홍대점,17,204000
2024-05-06,부산점,9,108000
2024-05-07,강남점,23,276000
2024-05-07,홍대점,20,300000
2024-05-07,부산점,16,192000
2024-05-08,강남점,21,315000
2024-05-08,홍대점,23,345000
2024-05-08,부산점,25,450000
2024-05-09,강남점,20,240000
2024-05-09,홍대점,13,195000
2024-05-09,부산점,13,156000
2024-05-10,강남점,22,330000
2024-05-10,홍대점,19,285000
2024-05-10,부산점,19,342000
2024-05-11,강남점,23,345000
2024-05-11,홍대점,20,360000
2024-05-11,부산점,20,240000
