업태별,시도,시군구,성별,(전체)당월,(전체)전월,(전체)전년동월,(개인)당월,(개인)전월,(개인)전년동월,(법인)당월,(법인)전월,(법인)전년동월
농·임·어업,서울특별시,종로구,남자,19,19,19,5,5,6,14,14,13
농·임·어업,서울특별시,종로구,여자,5,5,4,3,3,3,0,0,0
농·임·어업,서울특별시,중구,남자,11,11,10,0,0,0,9,9,8
농·임·어업,서울특별시,중구,여자,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,용산구,남자,7,7,7,3,3,3,4,4,4
농·임·어업,서울특별시,용산구,여자,9,9,8,3,3,0,6,6,6
농·임·어업,서울특별시,성동구,남자,17,17,16,8,8,7,9,9,9
농·임·어업,서울특별시,성동구,여자,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,광진구,남자,30,29,29,14,13,13,16,16,16
농·임·어업,서울특별시,광진구,여자,12,11,8,7,7,4,5,4,4
농·임·어업,서울특별시,동대문구,남자,21,21,17,13,13,11,8,8,6
농·임·어업,서울특별시,동대문구,여자,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,중랑구,남자,18,19,20,14,15,17,4,4,3
농·임·어업,서울특별시,중랑구,여자,6,6,4,4,4,0,0,0,0
농·임·어업,서울특별시,성북구,남자,12,12,12,7,7,7,5,5,5
농·임·어업,서울특별시,성북구,여자,5,5,4,5,5,4,0,0,0
농·임·어업,서울특별시,강북구,남자,6,6,6,3,3,0,3,3,4
농·임·어업,서울특별시,강북구,여자,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,도봉구,남자,11,12,13,11,12,12,0,0,0
농·임·어업,서울특별시,도봉구,여자,5,5,4,3,3,0,0,0,0
농·임·어업,서울특별시,노원구,남자,14,15,15,11,12,10,3,3,5
농·임·어업,서울특별시,노원구,여자,10,9,9,4,3,3,6,6,6
농·임·어업,서울특별시,은평구,남자,16,16,19,11,11,14,5,5,5
농·임·어업,서울특별시,은평구,여자,7,6,5,3,0,0,4,4,3
농·임·어업,서울특별시,서대문구,남자,6,8,10,4,4,4,0,0,0
농·임·어업,서울특별시,서대문구,여자,6,6,5,3,3,3,3,3,0
농·임·어업,서울특별시,마포구,남자,22,22,20,12,12,9,10,10,11
농·임·어업,서울특별시,마포구,여자,4,4,4,0,0,0,0,0,0
농·임·어업,서울특별시,양천구,남자,10,10,10,7,7,7,3,3,3
농·임·어업,서울특별시,양천구,여자,9,9,5,7,7,3,0,0,0
농·임·어업,서울특별시,강서구,남자,27,28,24,17,18,15,10,10,9
농·임·어업,서울특별시,강서구,여자,19,18,16,14,13,11,5,5,5
농·임·어업,서울특별시,구로구,남자,24,25,26,11,11,11,13,14,15
농·임·어업,서울특별시,구로구,여자,11,11,6,6,6,4,5,5,0
농·임·어업,서울특별시,금천구,남자,14,13,12,5,5,4,9,8,8
농·임·어업,서울특별시,금천구,여자,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,영등포구,남자,16,15,17,5,4,5,11,11,12
농·임·어업,서울특별시,영등포구,여자,7,7,8,3,3,4,4,4,4
농·임·어업,서울특별시,동작구,남자,6,6,6,4,4,4,0,0,0
농·임·어업,서울특별시,동작구,여자,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,관악구,남자,15,15,15,8,8,9,7,7,6
농·임·어업,서울특별시,관악구,여자,8,8,7,4,4,3,4,4,4
농·임·어업,서울특별시,서초구,남자,104,101,94,62,60,52,42,41,42
농·임·어업,서울특별시,서초구,여자,48,48,46,34,34,31,14,14,15
농·임·어업,서울특별시,강남구,남자,66,67,71,16,16,19,50,51,52
농·임·어업,서울특별시,강남구,여자,24,23,22,13,13,11,11,10,11
농·임·어업,서울특별시,송파구,남자,54,54,46,27,27,23,27,27,23
농·임·어업,서울특별시,송파구,여자,14,14,13,0,0,0,12,12,12
농·임·어업,서울특별시,강동구,남자,31,31,32,21,21,22,10,10,10
농·임·어업,서울특별시,강동구,여자,27,24,23,18,15,14,9,9,9
농·임·어업,서울특별시,강동구,미상,0,0,0,0,0,0,0,0,0
농·임·어업,부산광역시,중구,남자,24,24,26,12,12,14,12,12,12
농·임·어업,부산광역시,중구,여자,5,6,6,4,5,6,0,0,0
농·임·어업,부산광역시,서구,남자,56,55,52,39,38,34,17,17,18
농·임·어업,부산광역시,서구,여자,16,15,16,14,13,12,0,0,0
농·임·어업,부산광역시,서구,미상,0,0,0,0,0,0,0,0,0
농·임·어업,부산광역시,동구,남자,8,9,6,0,0,0,6,6,4
농·임·어업,부산광역시,동구,여자,3,3,3,0,0,0,3,3,3
농·임·어업,부산광역시,영도구,남자,73,74,73,70,71,70,3,3,3
농·임·어업,부산광역시,영도구,여자,22,22,16,19,19,15,3,3,0
농·임·어업,부산광역시,부산진구,남자,27,27,27,11,11,11,16,16,16
농·임·어업,부산광역시,부산진구,여자,7,7,9,4,4,6,3,3,3
농·임·어업,부산광역시,동래구,남자,22,21,22,17,16,16,5,5,6
농·임·어업,부산광역시,동래구,여자,8,8,9,5,5,5,3,3,4
농·임·어업,부산광역시,남구,남자,36,35,37,29,28,28,7,7,9
농·임·어업,부산광역시,남구,여자,17,18,22,13,13,15,4,5,7
농·임·어업,부산광역시,북구,남자,23,23,23,18,18,17,5,5,6
농·임·어업,부산광역시,북구,여자,4,4,5,3,3,4,0,0,0
농·임·어업,부산광역시,해운대구,남자,128,129,133,108,109,118,20,20,15
농·임·어업,부산광역시,해운대구,여자,47,48,48,41,41,41,6,7,7
농·임·어업,부산광역시,해운대구,미상,0,0,0,0,0,0,0,0,0
